原文,原AI标签,LLM置信度(1-5),LLM理由,LLM建议标签,人工修正标签,平台
DJI Action 5 Pro 全新旗舰运动相机：支持山地公路骑行+水下潜拍双场景，全能记录神器！官方标配·激活后发·联保一年。轻巧强悍，1200万超清画质+1/1.3英寸大底，10米裸机防水，HorizonSteady地平线稳如磐石，AI智能追踪一拍即锁——冒险不必妥协，精彩从不漏帧。,正面,5,帖子内容为产品功能宣传，使用“全能记录神器”“稳如磐石”“精彩从不漏帧”等赞美性语言，无任何批评或负面表述，AI标注准确。,正面,,B站
大疆（DJI）  Osmo Nano 拇指相机 自由视角穿戴相机   摩托车骑行便携式vlog运动相机摄像机新品上市 DJI OSMO NANO (128GB) 官方标配,中性,5,帖子内容为产品名称、规格和上市信息的客观陈述，无任何评价性语言或情感倾向，符合中性定义。,中性,,B站
DJI Action 5 Pro：山地公路骑行+水下双场景Vlog神器！4K超清画质、旗舰级防抖、全地形户外全能记录首选——一机搞定陆上疾驰与水下探秘，稳如旗舰，轻如口袋。,正面,5,帖子内容使用“神器”“旗舰级”“稳如旗舰”等赞美性词汇，明确推荐和赞扬产品，符合正面情感定义。,正面,,B站
标题：“我妈有两个‘老公’，一个是我爸，另一个一年见两回”，母亲节宣传文案被批价值观不正，OPPO致歉：已第一时间下架全部相关物料,正面,1,帖子内容明确提到宣传文案因“价值观不正”被批评，且品牌已致歉并下架物料，属于品牌声誉风险事件，情感应为负面。[[cases/case-002]] 中类似“文案翻车”案例被标注为品牌声誉风险，且严重度为P3，情感应为负面。,负面,,抖音
标题：“我妈有两个老公”？？oppo就母亲节文案事件再次道歉，涉及人员严惩！#oppo事件 #oppo官方 #商业#段永平 #抖音二创激励计划,中性,1,帖子标题“我妈有两个老公”直接指向品牌文案翻车事件，且提及“再次道歉”“严惩”，整体是对品牌失误的批评性报道，情感倾向明显负面。,负面,,抖音
#产品创新 #产品开发 #产品NPD #大单品 #HBG品牌研究院,正面,2,帖子内容仅为话题标签的堆砌，没有表达任何对品牌或产品的具体评价、推荐或批评，属于客观信息发布，不构成正面情感。,中性,,抖音
标题：就母亲节不当文案事件，OPPO公布处罚结果：高级副总裁连降两级、多人被问责。知情人士称是公司“史上罕见的严厉处罚”#OPPO,正面,2,帖子内容是对OPPO处罚结果的客观事实陈述，没有表达赞美或批评倾向，属于中性报道，而非正面情感。,中性,,抖音
标题：OPPO再就“母亲节营销文案”致歉并发布问责通告： 高级副总裁职级直降两级，其余相关管理人员也被降级、冻结调薪#OPPO #媒体精选计划  #精选主播说   （ 编辑：赵赵）,中性,3,帖子内容涉及品牌因营销翻车致歉并处罚高管，属于品牌声誉风险事件，整体情感倾向负面。,负面,中性,抖音
时长：1分5秒,中性,3,知识库中仅记录了该帖子的平台和时长信息，未提供具体文本或视频内容，无法判断情感倾向，AI标注“中性”在无内容依据时属于合理默认值。,中性,,抖音
标题：OPPO母亲节广告翻车，为何全网都在指责武汉大学？,负面,3,标题仅陈述“广告翻车”和“全网指责”的事实，未表达个人情感倾向，属于客观描述事件现象，符合中性定义。,中性,,抖音
